"PIN","sex","age","dq_ethnicity_1","dq_ethnicity_2","dq_ethnicity_3","dq_ethnicity_4","dq_ethnicity_5","dq_ethnicity_6","dq_religion1","dq_religion2","dq_religion3","dq_religion4","dq_religion5","dq_religion6","dq_religion7","dq_religion8","dq_religion9","dq_religion10","dq_religion11","dq_religion12","dq_politics1","dq_politics2","dq_politics3","dq_politics4","dq_politics5","dq_politics6","dq_politics7","self_race1","self_race2","self_race3","self_race4","self_race5","self_race6","self_race7","self_religion","self_politics","ideal_affectionate","ideal_ambition","ideal_artistic","ideal_disposition","ideal_family","ideal_health","ideal_humor","ideal_intelligent","ideal_kind","ideal_parenting","ideal_physatt","ideal_religious","ideal_resources","ideal_sexy","ideal_status","ideal_age","self_affectionate_comp","self_ambition_comp","self_artistic_comp","self_disposition_comp","self_family_comp","self_health_comp","self_humor_comp","self_intelligent_comp","self_kind_comp","self_parenting_comp","self_physatt_comp","self_religious_comp","self_resources_comp","self_sexy_comp","self_status_comp","self_age"
335,0,31,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,4,10,6,7,8,7,10,7,10,7,7,7,5,9,8,9,2,5,6,8,9,10,8,8,6,6,7,6,4,7,7,8,1
452,0,21,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,10,7,5,9,6,7,7,7,9,9,7,5,8,7,8,1,7,7,7,9,8,8,8,8,8,9,8,5,8,9,8,0
343,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,3,5,5,5,6,6,6,4,5,4,4,7,5,5,5,0,4,5,6,6,7,6,3,6,6,3,6,7,7,5,5,1
290,0,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,7,7,5,4,5,5,5,6,6,4,5,5,0,7,8,5,4,5,5,5,4,4,7,4,4,4,5,4,2,4,4,4,1
398,0,29,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,7,10,8,6,10,7,9,8,10,10,8,9,1,10,10,7,2,9,8,6,9,8,6,7,9,10,9,8,0,8,9,8,1
385,0,22,1,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,4,8,7,6,6,5,5,6,7,7,7,9,5,6,7,7,1,8,8,9,7,9,6,7,8,6,8,7,7,6,8,7,0
424,0,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,3,7,5,7,7,7,7,6,6,5,5,6,1,6,6,7,1,6,3,5,4,7,3,4,5,6,5,4,3,4,4,4,1
314,0,24,1,NA,NA,NA,1,1,1,NA,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,1,6,6,4,5,4,7,3,6,6,6,5,8,5,5,6,2,6,7,7,6,4,5,5,8,7,5,7,8,5,8,7,1
413,0,25,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,4,7,5,3,2,6,7,7,4,4,6,4,7,5,7,5,2,6,5,6,4,7,5,5,6,6,6,5,4,4,5,4,1
410,0,18,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,4,8,7,5,7,8,9,5,7,5,7,5,3,7,8,6,3,7,6,5,7,7,7,7,7,8,7,7,4,7,6,6,2
